Ticket,Status,Created,Age,Runbook Present,Category of Issue,Category,Rules Used,Categorization Source,LLM Confidence,Human Audit for Accuracy,Human Comments
DO-2577053,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2577054,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2577055,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2577056,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2577057,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2577058,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,"R029,R039",rule,1.0,pending-review,
DO-2577546,Closed,2026-01-14,25,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R041,R040",rule,0.9,pending-review,
DO-2577974,Closed,2026-01-14,25,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R040",rule,0.9,pending-review,
DO-2578698,Closed,2026-01-14,24,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2578917,Closed,2026-01-14,24,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2578930,Closed,2026-01-14,24,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2578931,Closed,2026-01-14,24,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2578942,Closed,2026-01-14,24,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2578943,Closed,2026-01-14,24,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2578944,Closed,2026-01-14,24,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2579411,Closed,2026-01-14,24,TRUE,CDFP Cable Order Failure,CDFP,"R002,R039",rule,0.95,pending-review,
DO-2579598,Closed,2026-01-15,24,TRUE,ILOM Fault - Diagnostics Code Detected,ILOM,"R035,R041,R039,R040",rule,0.85,pending-review,
DO-2579599,Closed,2026-01-15,24,TRUE,ILOM Fault - Diagnostics Code Detected,ILOM,"R035,R041",rule,0.85,pending-review,
DO-2579660,Resolved,2026-01-15,24,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R041,R040",rule,0.9,pending-review,
DO-2579717,Closed,2026-01-15,24,TRUE,GPU Count Mismatch (ILOM),GPU,"R024,R008,R027,R041,R039,R040",rule,1.0,pending-review,
DO-2579747,Closed,2026-01-15,24,TRUE,GPU Count Mismatch (ILOM),GPU,"R024,R027,R041,R039",rule,1.0,pending-review,
DO-2579843,Closed,2026-01-15,24,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R041,R040",rule,0.9,pending-review,
DO-2579867,Closed,2026-01-15,24,TRUE,CDFP Cable Order Failure,CDFP,"R002,R024,R041,R039",rule,1.0,pending-review,
DO-2579868,Closed,2026-01-15,24,TRUE,CDFP Cable Order Failure,CDFP,"R002,R039",rule,0.95,pending-review,
DO-2579888,Closed,2026-01-15,24,TRUE,CDFP Cable Order Failure,CDFP,"R002,R039",rule,0.95,pending-review,
DO-2579895,Closed,2026-01-15,24,TRUE,CDFP Cable Order Failure,CDFP,R002,rule,0.95,pending-review,
DO-2579906,Closed,2026-01-15,24,TRUE,CDFP Cable Order Failure,CDFP,"R002,R024,R041,R039",rule,1.0,pending-review,
DO-2579907,Closed,2026-01-15,24,TRUE,CDFP Cable Order Failure,CDFP,"R002,R024,R041,R039",rule,1.0,pending-review,
DO-2579908,Closed,2026-01-15,24,TRUE,CDFP Cable Order Failure,CDFP,"R002,R039",rule,0.95,pending-review,
DO-2579909,Closed,2026-01-15,24,TRUE,CDFP Cable Order Failure,CDFP,"R002,R039",rule,0.95,pending-review,
DO-2579910,Closed,2026-01-15,24,TRUE,CDFP Cable Order Failure,CDFP,"R002,R039",rule,0.95,pending-review,
DO-2579918,Closed,2026-01-15,24,TRUE,CDFP Cable Order Failure,CDFP,"R002,R024,R041,R039",rule,1.0,pending-review,
DO-2579937,Closed,2026-01-15,24,TRUE,CDFP Cable Order Failure,CDFP,"R002,R024,R041,R039",rule,1.0,pending-review,
DO-2580087,Closed,2026-01-15,24,TRUE,Prescriptive Action - Component,HW- General,"R027,R041",rule,1.0,pending-review,
DO-2580140,Closed,2026-01-15,24,TRUE,CDFP Cable Order Failure,CDFP,R002,rule,0.95,pending-review,
DO-2580158,Closed,2026-01-15,24,TRUE,Prescriptive Action - Component,HW- General,"R027,R041,R039",rule,1.0,pending-review,
DO-2580319,Resolved,2026-01-15,24,FALSE,uncategorized,unknown,,none,,needs-review,
DO-2580750,Resolved,2026-01-15,24,TRUE,uncategorized,unknown,,none,,needs-review,
DO-2581631,Closed,2026-01-15,23,TRUE,Prescriptive Action - Component,HW- General,R027,rule,1.0,pending-review,
DO-2583337,Closed,2026-01-16,23,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R040",rule,0.9,pending-review,
DO-2583369,Closed,2026-01-16,23,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R040",rule,0.9,pending-review,
DO-2584251,Closed,2026-01-16,22,TRUE,Prescriptive Action - Component,HW- General,"R027,R006",rule,1.0,pending-review,
DO-2585632,Closed,2026-01-16,22,TRUE,Prescriptive Action - Component,HW- General,"R027,R006",rule,1.0,pending-review,
DO-2585633,Closed,2026-01-16,22,TRUE,Prescriptive Action - Component,HW- General,"R027,R006",rule,1.0,pending-review,
DO-2585663,Closed,2026-01-17,22,TRUE,Prescriptive Action - Component,HW- General,"R027,R006",rule,1.0,pending-review,
DO-2586666,Closed,2026-01-17,22,TRUE,Prescriptive Action - Component,HW- General,"R027,R006",rule,1.0,pending-review,
DO-2587354,Closed,2026-01-17,22,TRUE,Prescriptive Action - Component,HW- General,"R027,R006",rule,1.0,pending-review,
DO-2587371,Closed,2026-01-17,22,TRUE,Prescriptive Action - Component,HW- General,"R027,R006",rule,1.0,pending-review,
DO-2588187,Closed,2026-01-17,21,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2588194,Closed,2026-01-17,21,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2588449,Closed,2026-01-18,21,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2588695,Closed,2026-01-18,21,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R040",rule,0.9,pending-review,
DO-2588697,Closed,2026-01-18,21,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R040",rule,0.9,pending-review,
DO-2588711,Closed,2026-01-18,21,FALSE,uncategorized,unknown,,none,,needs-review,
DO-2589260,Resolved,2026-01-18,21,TRUE,SmartNIC DHCP Timeout,SmartNIC,R006,rule,0.95,pending-review,
DO-2589818,Closed,2026-01-19,20,TRUE,CDFP Cable Order Failure,CDFP,R002,rule,0.95,pending-review,
DO-2589819,Closed,2026-01-19,20,TRUE,CDFP Cable Order Failure,CDFP,R002,rule,0.95,pending-review,
DO-2589820,Closed,2026-01-19,20,TRUE,CDFP Cable Order Failure,CDFP,R002,rule,0.95,pending-review,
DO-2589821,Closed,2026-01-19,20,TRUE,CDFP Cable Order Failure,CDFP,R002,rule,0.95,pending-review,
DO-2589823,Closed,2026-01-19,20,TRUE,CDFP Cable Order Failure,CDFP,R002,rule,0.95,pending-review,
DO-2590168,Closed,2026-01-19,20,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2590320,Closed,2026-01-19,20,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2590349,Closed,2026-01-19,20,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R040",rule,0.9,pending-review,
DO-2590611,Closed,2026-01-19,20,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2590621,Closed,2026-01-19,20,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2590635,Closed,2026-01-19,20,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2591360,Closed,2026-01-19,19,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2591406,Closed,2026-01-20,19,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2591411,Closed,2026-01-20,19,TRUE,Hardware Environment Fault - Diagnostics Code Detected,HW- General,R041,rule,0.8,pending-review,
DO-2591523,Closed,2026-01-20,19,TRUE,CDFP Cable Order Failure,CDFP,"R002,R039",rule,0.95,pending-review,
DO-2591786,Closed,2026-01-20,19,TRUE,CDFP Cable Order Failure,CDFP,R002,rule,0.95,pending-review,
DO-2591839,Closed,2026-01-20,19,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2591842,Closed,2026-01-20,19,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2592637,Closed,2026-01-20,19,FALSE,uncategorized,unknown,,none,,needs-review,
DO-2592681,Resolved,2026-01-20,19,TRUE,uncategorized,unknown,,none,,needs-review,
DO-2592960,Closed,2026-01-20,19,TRUE,CPU/Processor Fault - SP Diagnostics Code Detected,CPU/Processor,R039,rule,0.85,pending-review,
DO-2593069,Closed,2026-01-20,18,TRUE,Hardware Environment Fault - Diagnostics Code Detected,HW- General,R041,rule,0.8,pending-review,
DO-2594056,Resolved,2026-01-21,18,TRUE,PCIe Link Degraded Width,PCIE,"R005,R027,R039",rule,1.0,pending-review,
DO-2594543,Closed,2026-01-21,18,TRUE,Hardware Environment Fault - Diagnostics Code Detected,HW- General,R041,rule,0.8,pending-review,
DO-2594783,Closed,2026-01-21,18,TRUE,CPU/Processor Fault - Open Problem,CPU/Processor,"R013,R039",rule,0.85,pending-review,
DO-2595504,Closed,2026-01-21,18,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R040",rule,0.9,pending-review,
DO-2596565,Closed,2026-01-21,17,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2596897,Closed,2026-01-21,17,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R040",rule,0.9,pending-review,
DO-2597469,Closed,2026-01-22,17,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R040",rule,0.9,pending-review,
DO-2599905,Closed,2026-01-22,16,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R027,R039,R040",rule,1.0,pending-review,
DO-2599978,Closed,2026-01-22,16,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R040",rule,0.9,pending-review,
DO-2600840,Closed,2026-01-23,16,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2600860,Closed,2026-01-23,16,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R040",rule,0.9,pending-review,
DO-2600911,Closed,2026-01-23,16,FALSE,uncategorized,unknown,,none,,needs-review,
DO-2601343,Closed,2026-01-23,16,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2601518,Closed,2026-01-23,16,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2601534,Closed,2026-01-23,16,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2601540,Closed,2026-01-23,16,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2601542,Closed,2026-01-23,16,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2601543,Closed,2026-01-23,16,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2601544,Closed,2026-01-23,16,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2601548,Closed,2026-01-23,16,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2601549,Closed,2026-01-23,16,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2601550,Closed,2026-01-23,16,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2601551,Resolved,2026-01-23,16,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2601553,Closed,2026-01-23,16,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2601554,Closed,2026-01-23,16,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2601555,Closed,2026-01-23,16,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2601557,Closed,2026-01-23,16,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2601560,Closed,2026-01-23,16,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2601584,Closed,2026-01-23,15,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2601810,Closed,2026-01-23,15,TRUE,Prescriptive Action - Component,HW- General,"R027,R035,R039,R040",rule,1.0,pending-review,
DO-2601826,Closed,2026-01-23,15,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2601827,Closed,2026-01-23,15,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2601852,Resolved,2026-01-23,15,TRUE,Prescriptive Action - Component,HW- General,"R027,R040",rule,1.0,pending-review,
DO-2602572,Closed,2026-01-24,15,FALSE,uncategorized,unknown,,none,,needs-review,
DO-2602595,Resolved,2026-01-24,15,TRUE,Prescriptive Action - Component,HW- General,"R027,R040",rule,1.0,pending-review,
DO-2602694,Resolved,2026-01-24,15,TRUE,Prescriptive Action - Component,HW- General,"R027,R040",rule,1.0,pending-review,
DO-2602722,Closed,2026-01-24,15,TRUE,GPU Fault - Diagnostics Code Detected,GPU,R032,rule,0.9,pending-review,
DO-2602737,Resolved,2026-01-24,15,TRUE,SmartNIC DHCP Timeout,SmartNIC,R006,rule,0.95,pending-review,
DO-2602769,Resolved,2026-01-24,15,TRUE,TRS Component Replacement,TRS_SMARTNIC_NETWORK,R021,rule,1.0,pending-review,
DO-2602834,Closed,2026-01-24,15,TRUE,Hardware Environment Fault - Diagnostics Code Detected,HW- General,R041,rule,0.8,pending-review,
DO-2602849,Closed,2026-01-24,15,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R041,R040",rule,0.9,pending-review,
DO-2602884,Closed,2026-01-24,15,TRUE,Prescriptive Action - Component,HW- General,"R027,R006",rule,1.0,pending-review,
DO-2602893,Resolved,2026-01-24,15,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2602915,Closed,2026-01-24,15,TRUE,GPU Count Mismatch (ILOM),GPU,"R024,R008,R041,R040",rule,1.0,pending-review,
DO-2602937,Closed,2026-01-24,15,TRUE,Prescriptive Action - Component,HW- General,"R027,R006",rule,1.0,pending-review,
DO-2602947,Resolved,2026-01-24,15,TRUE,Prescriptive Action - Component,HW- General,"R027,R006",rule,1.0,pending-review,
DO-2602973,Closed,2026-01-24,15,TRUE,Prescriptive Action - Component,HW- General,"R027,R006",rule,1.0,pending-review,
DO-2603068,Resolved,2026-01-24,15,TRUE,Prescriptive Action - Component,HW- General,"R027,R032,R041,R039",rule,1.0,pending-review,
DO-2603069,Resolved,2026-01-24,15,TRUE,Prescriptive Action - Component,HW- General,"R027,R032,R041,R039",rule,1.0,pending-review,
DO-2603110,Resolved,2026-01-24,15,TRUE,Prescriptive Action - Component,HW- General,"R027,R006",rule,1.0,pending-review,
DO-2603111,Closed,2026-01-24,15,TRUE,GBB/OAM Powergood Failure,GPU,"R004,R008,R041,R040",rule,0.9,pending-review,
DO-2603155,Resolved,2026-01-24,15,TRUE,Prescriptive Action - Component,HW- General,"R027,R032,R041,R039",rule,1.0,pending-review,
DO-2603169,Resolved,2026-01-24,15,TRUE,Prescriptive Action - Component,HW- General,"R027,R041,R039",rule,1.0,pending-review,
DO-2603184,Resolved,2026-01-24,15,TRUE,Prescriptive Action - Component,HW- General,"R027,R032,R041,R039",rule,1.0,pending-review,
DO-2603188,Resolved,2026-01-24,15,TRUE,PCIe Link Degraded Width,PCIE,"R005,R024,R027,R041,R039",rule,1.0,pending-review,
DO-2603422,Resolved,2026-01-24,15,TRUE,Prescriptive Action - Component,HW- General,"R027,R041",rule,1.0,pending-review,
DO-2603550,Closed,2026-01-24,15,TRUE,Prescriptive Action - Component,HW- General,"R027,R006",rule,1.0,pending-review,
DO-2603551,Closed,2026-01-24,15,TRUE,CDFP Cable Order Failure,CDFP,R002,rule,0.95,pending-review,
DO-2603553,Closed,2026-01-24,15,TRUE,uncategorized,unknown,,none,,needs-review,
DO-2604176,Closed,2026-01-25,14,TRUE,Prescriptive Action - Component,HW- General,"R027,R006",rule,1.0,pending-review,
DO-2604187,Resolved,2026-01-25,14,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R016,R035",rule,0.9,pending-review,
DO-2604276,Resolved,2026-01-25,14,TRUE,GPU Count Mismatch (ILOM),GPU,"R024,R041,R040",rule,1.0,pending-review,
DO-2604312,Closed,2026-01-25,14,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2604329,Closed,2026-01-25,14,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2604336,Closed,2026-01-25,14,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R009,R040",rule,0.9,pending-review,
DO-2604356,Resolved,2026-01-25,14,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2604359,Closed,2026-01-25,14,TRUE,PCIe Hardware Fault - Open Problem,PCIE,"R018,R039,R040",rule,0.85,pending-review,
DO-2604360,Resolved,2026-01-25,14,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2604362,Closed,2026-01-25,14,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2604375,Closed,2026-01-25,14,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R009,R040",rule,0.9,pending-review,
DO-2604376,Closed,2026-01-25,14,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2604412,Resolved,2026-01-25,14,FALSE,uncategorized,unknown,,none,,needs-review,
DO-2604415,Closed,2026-01-25,14,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2604417,Closed,2026-01-25,14,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R009,R040",rule,0.9,pending-review,
DO-2604422,Closed,2026-01-25,14,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2604448,Closed,2026-01-25,14,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2604450,Resolved,2026-01-25,14,TRUE,uncategorized,unknown,,none,,needs-review,
DO-2604458,Resolved,2026-01-25,14,TRUE,uncategorized,unknown,,none,,needs-review,
DO-2604460,Resolved,2026-01-25,14,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2604472,Closed,2026-01-25,14,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R009,R040",rule,0.9,pending-review,
DO-2604487,Closed,2026-01-25,14,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R009,R040",rule,0.9,pending-review,
DO-2604490,Closed,2026-01-25,14,TRUE,PCIe Hardware Fault - Open Problem,PCIE,"R018,R039,R040",rule,0.85,pending-review,
DO-2604493,Closed,2026-01-25,14,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2604498,Closed,2026-01-25,14,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2604520,Closed,2026-01-25,14,FALSE,CPV Failure - RDMA Links Down,RDMA Cable,R009,rule,0.75,pending-review,
DO-2604548,Resolved,2026-01-25,14,TRUE,GPU Count Mismatch (ILOM),GPU,"R024,R027,R041,R039",rule,1.0,pending-review,
DO-2604578,Resolved,2026-01-25,14,FALSE,uncategorized,unknown,,none,,needs-review,
DO-2604601,Resolved,2026-01-25,14,TRUE,Prescriptive Action - Component,HW- General,"R027,R006",rule,1.0,pending-review,
DO-2604650,Resolved,2026-01-25,14,TRUE,Prescriptive Action - Component,HW- General,"R027,R040",rule,1.0,pending-review,
DO-2604657,Closed,2026-01-25,14,TRUE,Prescriptive Action - Component,HW- General,"R027,R006",rule,1.0,pending-review,
DO-2604658,Resolved,2026-01-25,14,TRUE,Prescriptive Action - Component,HW- General,"R027,R006",rule,1.0,pending-review,
DO-2604664,Closed,2026-01-25,14,TRUE,Prescriptive Action - Component,HW- General,"R027,R040",rule,1.0,pending-review,
DO-2604677,Resolved,2026-01-25,14,TRUE,CDFP Cable Order Failure,CDFP,R002,rule,0.95,pending-review,
DO-2604680,Closed,2026-01-25,14,TRUE,Prescriptive Action - Component,HW- General,"R027,R035,R040",rule,1.0,pending-review,
DO-2604688,Resolved,2026-01-25,14,TRUE,CDFP Cable Order Failure,CDFP,R002,rule,0.95,pending-review,
DO-2604696,Resolved,2026-01-25,14,TRUE,CDFP Cable Order Failure,CDFP,R002,rule,0.95,pending-review,
DO-2604698,Closed,2026-01-25,14,TRUE,Prescriptive Action - Component,HW- General,"R027,R040",rule,1.0,pending-review,
DO-2604714,Resolved,2026-01-25,14,TRUE,Prescriptive Action - Component,HW- General,"R027,R006",rule,1.0,pending-review,
DO-2604715,Closed,2026-01-25,14,TRUE,CDFP Cable Order Failure,CDFP,"R002,R040",rule,0.95,pending-review,
DO-2604723,Resolved,2026-01-25,14,TRUE,Prescriptive Action - Component,HW- General,"R027,R006,R039",rule,1.0,pending-review,
DO-2604768,Closed,2026-01-25,14,TRUE,Prescriptive Action - Component,HW- General,"R027,R035,R040",rule,1.0,pending-review,
DO-2604775,Closed,2026-01-25,14,TRUE,Prescriptive Action - Component,HW- General,"R027,R006",rule,1.0,pending-review,
DO-2604780,Closed,2026-01-25,14,TRUE,uncategorized,unknown,,none,,needs-review,
DO-2604784,Closed,2026-01-25,14,TRUE,Prescriptive Action - Component,HW- General,"R027,R035,R040",rule,1.0,pending-review,
