faultId,component,customerDescription
JBOD-WDC-CONFIG-OS-09,OS,A data path between JBOD and Host has failed
JBOD-WDC-CONFIG-OS-10,OS,Number of device nodes per disk exceeds 4
JBOD-WDC-CONFIG-PSU-01,PSU,Power Supplies are no longer redundant
JBOD-WDC-FAULT-ADS-01,DISK,Reduced disk capacity
JBOD-WDC-FAULT-CONNECTOR-01,CONNECTOR/CABLE,A data path between JBOD and Host has failed
JBOD-WDC-FAULT-CURRENT-01,N/A,Ignore. No Impact.
JBOD-WDC-FAULT-DISK-01,DISK,Faulty disk. Needs to be replaced. - SMART ASC/ASCQ=5d/00
JBOD-WDC-FAULT-DISK-02,DISK,Faulty disk. Needs to be replaced. - SMART ASC/ASCQ=5d/01
JBOD-WDC-FAULT-DISK-03,DISK,Faulty disk. Needs to be replaced. - SMART ASC/ASCQ=5d/14
JBOD-WDC-FAULT-DISK-04,DISK,Faulty disk. Needs to be replaced. - SMART ASC/ASCQ=5d/90 (LHI rate replacement error)
JBOD-WDC-FAULT-DISK-05,DISK,Faulty disk. Needs to be replaced. - SMART ASC/ASCQ=5d/05 (background media scan)
JBOD-WDC-FAULT-DISK-06,DISK,Faulty disk. Needs to be replaced. - SMART ASC/ASCQ=5d/21 (milliactuator failure)
JBOD-WDC-FAULT-DISK-07,DISK,Faulty disk. Needs to be replaced. - SMART ASC/ASCQ=5d/32 (read error rate warning)
JBOD-WDC-FAULT-DISK-08,DISK,Faulty disk. Needs to be replaced. - SMART ASC/ASCQ=5d/50 (start stop count)
JBOD-WDC-FAULT-DISK-09,DISK,Faulty disk. Needs to be replaced. - SMART ASC/ASCQ=5d/62 (read error rate)
JBOD-WDC-FAULT-DISK-10,DISK,Faulty disk. Needs to be replaced. - SMART ASC/ASCQ=5d/63 (seek error rate)
JBOD-WDC-FAULT-DISK-11,DISK,Faulty disk. Needs to be replaced. - SMART ASC/ASCQ=5d/64 (reassign count)
JBOD-WDC-FAULT-DISK-12,DISK,Faulty disk. Needs to be replaced. - SMART ASC/ASCQ=5d/FC (rid recovery error)
JBOD-WDC-FAULT-DISK-13,DISK,Faulty disk. Needs to be replaced. - SMART ASC/ASCQ=5d/FD (helium leak)
JBOD-WDC-FAULT-DISK-14,DISK,Faulty disk. Needs to be replaced. - SMART ASC/ASCQ=5d/FF (test index)
JBOD-WDC-FAULT-DISK-15,DISK,Faulty disk. Needs to be replaced. Unresponsive disk drives - smart_support=false
JBOD-WDC-FAULT-DISK-SLOT-01,Disk,"Disk redundancy may be impacted, loss of disk capacity."
JBOD-WDC-FAULT-DOOR-01,DOOR,System down for maintenance
JBOD-WDC-FAULT-ENCL-IOM-01,IOM,Enclosure services have failed. Need to reseat/replace IOM's
JBOD-WDC-FAULT-ENCL-THERMAL-01,ENCLOSURE,JBOD is in a thermal shutdown condiftion
JBOD-WDC-FAULT-ESC-IOM-01,IOM,Enclosure services have failed. Need to reseat/replace IOM's
JBOD-WDC-FAULT-FAN-01,ENCL FAN,Fans are no longer redundant
JBOD-WDC-FAULT-PSU-01,PSU,Power Supplies are no longer redundant
JBOD-WDC-FAULT-PSU-AC-IN-01,PSU,Power Supplies are no longer redundant
JBOD-WDC-FAULT-TEMP-01,ENCLOSURE,"Services are degraded, shutdown occurred."
JBOD-WDC-FAULT-VOLTAGE-01,PSU or IOM,Reduced JBOD power. Need to reseat PSU/IOM
JBOD-WDC-WARNING-ADS-01 ,DISK/SLOT,TBD
JBOD-WDC-WARNING-ADS-02 ,DISK/SLOT,No Impact. Its just a warning.
JBOD-WDC-WARNING-ADS-03 ,DISK/SLOT,Reduced disk capacity
JBOD-WDC-WARNING-ADS-04,DISK/SLOT,TBD
JBOD-WDC-WARNING-ADS-05,DISK/SLOT,Reduced disk capacity
JBOD-WDC-WARNING-ADS-06,DISK,Reduced disk capacity
JBOD-WDC-WARNING-CONNECTOR-01 ,CONNECTOR/CABLE,A data path between JBOD and Host has failed
JBOD-WDC-WARNING-CONNECTOR-02,CONNECTOR,Just a warning/informational at this  time
JBOD-WDC-WARNING-CONNECTOR-03 ,CABLE,TBD
JBOD-WDC-WARNING-CONNECTOR-04 ,CABLE,TBD
JBOD-WDC-WARNING-CONNECTOR-05,CABLE,TBD
JBOD-WDC-WARNING-CONNECTOR-06,CABLE,TBD
JBOD-WDC-WARNING-CONNECTOR-07,CABLE,TBD
JBOD-WDC-WARNING-CURRENT-01 ,N/A,TBD
JBOD-WDC-WARNING-CURRENT-02 ,N/A,No Impact. Its just a warning.
JBOD-WDC-WARNING-CURRENT-03 ,N/A,TBD
JBOD-WDC-WARNING-CURRENT-04,PSU or IOM,TBD
JBOD-WDC-WARNING-CURRENT-05 ,N/A,TBD
JBOD-WDC-WARNING-CURRENT-06,N/A,TBD
JBOD-WDC-WARNING-CURRENT-07,N/A,TBD
JBOD-WDC-WARNING-DISK-01,DISK,No action. No Impact.
JBOD-WDC-WARNING-DISK-SLOT-01 ,DISK,"Disk redundancy may be impacted, loss of disk capacity."
JBOD-WDC-WARNING-DISK-SLOT-02,DISK/SLOT,No Impact. Its just a warning.
JBOD-WDC-WARNING-DISK-SLOT-03,DISK,"Disk redundancy may be impacted, loss of disk capacity."
JBOD-WDC-WARNING-DISK-SLOT-04 ,DISK,TBD
JBOD-WDC-WARNING-DISK-SLOT-05,DISK/SLOT,"Disk redundancy may be impacted, loss of disk capacity."
JBOD-WDC-WARNING-DISK-SLOT-06 ,DISK/SLOT,"Disk redundancy may be impacted, loss of disk capacity."
JBOD-WDC-WARNING-DISK-SLOT-07 ,DISK/SLOT,TBD
JBOD-WDC-WARNING-DOOR-NOT-INSTALLED-01 ,DOOR/CHASSIS,Disruption in services
JBOD-WDC-WARNING-DOOR-OPEN-01,DOOR,System down for maintenance
JBOD-WDC-WARNING-DOOR-UNLOCKED-01,DOOR,System down for maintenance
JBOD-WDC-WARNING-ENCL-IOM-01 ,IOM,Enclosure services have failed. Need to reseat/replace IOM's
JBOD-WDC-WARNING-ENCL-IOM-02 ,IOM,No Impact. Its just a warning.
JBOD-WDC-WARNING-ENCL-IOM-03 ,IOM,TBD
JBOD-WDC-WARNING-ENCL-IOM-04,IOM,TBD
JBOD-WDC-WARNING-ENCL-IOM-05,IOM,TBD
JBOD-WDC-WARNING-ENCL-IOM-06,IOM,TBD
JBOD-WDC-WARNING-ENCL-IOM-07,IOM,TBD
JBOD-WDC-WARNING-ESC-IOM-01 ,IOM,Enclosure services have failed. Need to reseat/replace IOM's
JBOD-WDC-WARNING-ESC-IOM-02 ,IOM,No Impact. Its just a warning.
JBOD-WDC-WARNING-ESC-IOM-03 ,IOM,TBD
JBOD-WDC-WARNING-ESC-IOM-04,IOM,TBD
JBOD-WDC-WARNING-ESC-IOM-05,IOM,TBD
JBOD-WDC-WARNING-ESC-IOM-06,IOM,TBD
JBOD-WDC-WARNING-ESC-IOM-07,IOM,TBD
JBOD-WDC-WARNING-FAN-01,FAN,Fans are no longer redundant
JBOD-WDC-WARNING-FAN-02 ,FAN,No Impact. Its just a warning.
JBOD-WDC-WARNING-FAN-03 ,FAN,TBD
JBOD-WDC-WARNING-FAN-04,FAN/PSU,TBD
JBOD-WDC-WARNING-FAN-05,FAN,TBD
JBOD-WDC-WARNING-FAN-06,FAN,TBD
JBOD-WDC-WARNING-FAN-07,FAN,TBD
JBOD-WDC-WARNING-FAN-NOT-INSTALLED-01 ,FAN,Fans are no longer redundant
JBOD-WDC-WARNING-PSU-01,PSU,Power Supplies are no longer redundant
JBOD-WDC-WARNING-PSU-02,PSU,No Impact. Its just a warning.
JBOD-WDC-WARNING-PSU-03,PSU,TBD
JBOD-WDC-WARNING-PSU-04,PSU,TBD
JBOD-WDC-WARNING-PSU-05,PSU,TBD
JBOD-WDC-WARNING-PSU-06,PSU,TBD
JBOD-WDC-WARNING-PSU-07,PSU,TBD
JBOD-WDC-WARNING-PSU-AC-IN-01,PSU,Reduced JBOD power. Need to check and replace PSU
JBOD-WDC-WARNING-PSU-NOT-INSTALLED-01,PSU,Reduced JBOD power. Need to reseat PSU/IOM
JBOD-WDC-WARNING-TEMP-01 ,N/A,TBD
JBOD-WDC-WARNING-TEMP-02,ENCLOSURE,No Impact. Its just a warning.
JBOD-WDC-WARNING-TEMP-03,N/A,N/A
JBOD-WDC-WARNING-TEMP-04,ENCLOSURE,TBD
JBOD-WDC-WARNING-TEMP-05,ENCLOSURE,TBD
JBOD-WDC-WARNING-TEMP-06,ENCLOSURE,reduced or total loss of disk capacity
JBOD-WDC-WARNING-TEMP-07,N/A,N/A
JBOD-WDC-WARNING-VOLTAGE-01 ,N/A,TBD
JBOD-WDC-WARNING-VOLTAGE-02,PSU or IOM,Just a warning/informational at this  time
JBOD-WDC-WARNING-VOLTAGE-03,N/A,N/A
JBOD-WDC-WARNING-VOLTAGE-04,PSU or IOM,TBD
JBOD-WDC-WARNING-VOLTAGE-05,N/A,TBD
JBOD-WDC-WARNING-VOLTAGE-06,N/A,TBD
JBOD-WDC-WARNING-VOLTAGE-07,N/A,TBD
NVL-0001-0001,,A liquid coolant leak has occurred within an NVLink device in the rack.
NVL-0002-0001,,The device is reporting itself as unhealthy and it may require replacement.
NVL-0002-0002,,The device is reporting itself as unhealthy and it may require replacement.
NVL-0003-0001,,A fan is exceeding its max speed.
NVL-0003-0002,,A fan is running under its min speed.
NVL-0003-0003,,A fan is reporting itself as unhealthy.
NVL-0004-0001,,An NVLink Switch ASIC is reporting temperature issues.
NVL-0004-0002,,An NVLink Switch ASIC is reporting temperature issues.
NVL-0004-0003,,An NVLink Switch temperature sensor has exceeded its critical temperature threshold.
NVL-0004-0004,,An NVLink Switch temperature sensor has exceeded its max temperature threshold.
NVL-0004-0005,,An NVLink Switch temperature sensor is in an unhealthy state.
NVL-0004-0006,,A cable has exceeded its warning temperature limit.
NVL-0005-0001,,The NVSwitch is reporting a voltage sensor is outside of its acceptable range.
SDN-INTERFACE,NETWORK,A fault in the instance software defined network interface has been detected
SMARTNIC-8000-17,SMART_NIC,A fault in the instance software defined network interface has been detected
SMARTNIC-8000-2M,MEMORY,A fault in the instance software defined network interface has been detected
SMARTNIC-8000-38,MEMORY,A fault in the instance software defined network interface has been detected
SMARTNIC-8000-4K,CPU,A fault in the instance software defined network interface has been detected
SMARTNIC-8000-5F,CPU,Correctable CPU problem threshold breached
SMARTNIC-8000-6W,STORAGE,A fault in the instance software defined network interface has been detected
SMARTNIC-8000-71,EMCC,A fault in the instance software defined network interface has been detected
SMARTNIC-8000-89,POWER,A fault in the instance software defined network interface has been detected
SMARTNIC-8000-9N,CVMX,A fault in the instance software defined network interface has been detected
SMARTNIC-8000-A6,NETWORK,A fault in the instance software defined network interface has been detected
SMARTNIC-8000-CT,FILESYSTEM,A fault in the instance software defined network interface has been detected
SPAMD-8000-1Q,CPU,The start of the boot process was unable to complete or is deadlocked.
SPAMD-8000-24,CPU,A bus interconnect error has been detected.
SPAMD-8000-3R,CPU,A bus interconnect error has been detected.
SPAMD-8000-42,CPU,A processor has detected multiple cache correctable errors.
SPAMD-8000-5X,CPU,A processor has detected a cache uncorrectable error.
SPAMD-8000-6E,CPU,A processor has detected multiple data cache correctable errors.
SPAMD-8000-7J,CPU,A processor has detected a data cache uncorrectable error.
SPAMD-8000-8S,CPU,A processor has detected multiple data TLB correctable errors.
SPAMD-8000-95,CPU,A processor has detected a data TLB uncorrectable error.
SPAMD-8000-AP,CPU,A processor has detected multiple instruction cache correctable errors.
SPAMD-8000-CA,CPU,A processor has detected an instruction cache uncorrectable error.
SPAMD-8000-DH,CPU,A processor has detected an internal fault.
SPAMD-8000-ED,CPU,A processor has detected multiple instruction TLB correctable errors.
SPAMD-8000-FY,CPU,A processor has detected an instruction TLB uncorrectable error.
SPAMD-8000-G3,CPU,A processor has detected multiple level 0 cache correctable errors.
SPAMD-8000-HR,CPU,A processor has detected a level 0 cache uncorrectable error.
SPAMD-8000-J4,CPU,A processor has detected multiple level 2 TLB correctable errors.
SPAMD-8000-KQ,CPU,A processor has detected a level 0 data cache uncorrectable error.
SPAMD-8000-LC,CPU,A processor has detected multiple level 0 data TLB correctable errors.
SPAMD-8000-MJ,CPU,A processor has detected a level 0 data TLB uncorrectable error.
SPAMD-8000-NE,CPU,A processor has detected multiple level 0 instruction cache correctable errors.
SPAMD-8000-PX,CPU,A processor has detected a level 0 instruction cache uncorrectable error.
SPAMD-8000-Q2,CPU,A processor has detected multiple level 0 instruction TLB correctable errors.
SPAMD-8000-RA,CPU,A processor has detected a level 0 instruction TLB uncorrectable error.
SPAMD-8000-SP,CPU,A processor has detected multiple level 0 TLB correctable errors.
SPAMD-8000-T5,CPU,A processor has detected a level 0 TLB uncorrectable error.
SPAMD-8000-US,CPU,A processor has detected multiple level 1 cache correctable errors.
SPAMD-8000-V3,CPU,A processor has detected a level 1 cache uncorrectable error.
SPAMD-8000-WY,CPU,A processor has detected multiple level 1 data cache correctable errors.
SPAMD-8000-XD,CPU,A processor has detected a level 1 data cache uncorrectable error.
SPAMD-8000-YH,CPU,A processor has detected multiple level 1 data TLB correctable errors.
SPAMD-8001-0D,CPU,A processor has detected a level 1 data TLB uncorrectable error.
SPAMD-8001-1H,CPU,A processor has detected multiple level 1 instruction cache correctable errors.
SPAMD-8001-23,CPU,A processor has detected a level 1 instruction cache uncorrectable error.
SPAMD-8001-3Y,CPU,A processor has detected multiple level 1 instruction TLB correctable errors.
SPAMD-8001-45,CPU,A processor has detected a level 1 instruction TLB uncorrectable error.
SPAMD-8001-5S,CPU,A processor has detected multiple level 1 TLB correctable errors.
SPAMD-8001-6A,CPU,A processor has detected a level 1 TLB uncorrectable error.
SPAMD-8001-7P,CPU,A processor has detected multiple level 2 cache correctable errors.
SPAMD-8001-8X,CPU,A processor has detected a level 2 cache uncorrectable error.
SPAMD-8001-92,CPU,A processor has detected multiple level 2 data cache correctable errors.
SPAMD-8001-AJ,CPU,A processor has detected a level 2 data cache uncorrectable error.
SPAMD-8001-CE,CPU,A processor has detected multiple level 2 data TLB correctable errors.
SPAMD-8001-DQ,CPU,A processor has detected a level 2 data TLB uncorrectable error.
SPAMD-8001-EC,CPU,A processor has detected multiple level 2 instruction cache correctable errors.
SPAMD-8001-FR,CPU,A processor has detected a level 2 instruction TLB uncorrectable error.
SPAMD-8001-G4,CPU,A processor has detected multiple level 2 instruction TLB correctable errors.
SPAMD-8001-HY,CPU,A processor has detected a level 2 instruction TLB uncorrectable error.
SPAMD-8001-J3,CPU,A processor has detected multiple level 2 TLB correctable errors.
SPAMD-8001-KH,CPU,A processor has detected a level 2 TLB uncorrectable error.
SPAMD-8001-LD,CPU,Excessive temperature has been detected on a system component.
SPAMD-8001-MP,CPU,The system is experiencing CPU Timeout Failures.
SPAMD-8001-NA,CPU,A processor has detected multiple TLB correctable errors.
SPAMD-8001-PS,CPU,A processor has detected a TLB uncorrectable error.
SPAMD-8001-Q5,CPU,A processor has detected an unknown uncorrectable error.
SPAMD-8001-RE,PCI,An Integrated I/O correctable error in a PCIE device has been detected.
SPAMD-8001-SJ,PCI,ILOM has detected that a PCIE link layer is inactive.
SPAMD-8001-T2,PCI,A PCIe device that is present was unable to be initialized.
SPAMD-8001-UX,PCI,An integrated I/O fatal error in a downstream PCIE device has been detected.
SPAMD-8001-V4,PCI,An integrated I/O non-fatal error in a downstream PCIE leaf device has been detected.
SPAMD-8001-WR,PCI,A PCI link error has been detected on a PCI card.
SPAMD-8001-XC,PCI,The External Global Memory Interconnect (xGMI) has detected that a link has degraded width.
SPAMD-8001-YQ,PCI,An Integrated I/O non-fatal error in a PCIe device has been detected.
SPAMD-8002-05,MEMORY,Multiple correctable memory DIMM address/command parity errors have been detected.
SPAMD-8002-1S,MEMORY,An uncorrectable Memory DIMM address/command parity error has been detected.
SPAMD-8002-2A,MEMORY,Multiple correctable ECC errors on a memory DIMM have been detected.
SPAMD-8002-3P,MEMORY,A memory uncorrectable ECC error on a Memory DIMM has been detected.
SPAMD-8002-4D,ILOM,Initialization of the BIOS was not successful.
SPAMD-8002-5H,CPU,The Platform Security Processor (PSP) firmware was unable to initialization the processor successfully.
SPAMD-8002-63,CPU,An Advanced Boot Loader (ABL) critical error has occurred during the boot process.
SPAMD-8002-7Y,CPU,An Advanced Boot Loader (ABL) error has occurred during the boot process.
SPAMD-8002-8Q,CPU,An Advanced Boot Loader (ABL) fatal error has occurred during the boot process.
SPAMD-8002-9C,CPU,An Advanced Boot Loader (ABL) warning error has occurred with the bootloader program or the boot path related hardware.
SPAMD-8002-AR,CPU,The processor built-in self-test (BIST) has detected a processor core complex failure.
SPAMD-8002-C4,CPU,The processor built-in self-test (BIST) has detected a chip failure.
SPAMD-8002-DX,CPU,The Inter-chip external Global Memory Interconnect (xGMI) link is down.
SPAMD-8002-E2,MEMORY,The processor built-in self-test (BIST) has detected a DIMM failure.
SPAMD-8002-FJ,MEMORY,The Platform Security Processor (PSP) firmware has detected a DIMM training failure.
SPAMD-8002-GE,CPU,The Platform Security Processor (PSP) firmware has detected an internal I/O fault on a processor.
SPAMD-8002-HP,MEMORY,Ilom has detected that no system memory is available.
SPAMD-8002-JA,MEMORY,Platform Security Processor (PSP) firmware has detected a DIMM is missing
SPAMD-8002-KS,CPU,Interchip Global Memory Interconnect (xGMI) correctable link error has occurred.
SPAMD-8002-L5,CPU,Interchip Global Memory Interconnect (xGMI) uncorrectable link error has occurred.
SPAMD-8002-MY,MB,ILOM has detected a potential voltage regulator device malfunction.
SPAMD-8002-N3,CPU,A processor has generated Poison data in response to the detection of an invalid access.
SPAMD-8002-PH,CPU,A processor has detected a fatal error from an invalid access.
SPAMD-8002-QD,CPU,A processor has detected excessive correctable errors in an internal memory array.
SPAMD-8002-R4,CPU,A processor has generated Poison data in response to the detection of a parity or ECC error in an internal memory array.
SPAMD-8002-SR,CPU,A processor has detected a fatal error in an internal memory array.
SPAMD-8002-TC,CPU,A processor thread has detected an uncorrectable error in an internal memory array.
SPAMD-8002-UQ,CPU,A processor thread has detected a recoverable uncorrected error in an internal memory array.
SPAMD-8002-VE,CPU,A processor has exceeded the allowable Bit Error Rate of correctable errors in a Global Memory Interconnect link.
SPAMD-8002-WJ,CPU,A processor has detected excessive correctable CRC errors in a Global Memory Interconnect link.
SPAMD-8002-X2,CPU,A processor has detected excessive correctable errors in a Global Memory Interconnect link.
SPAMD-8002-YX,CPU,A processor has detected excessive correctable errors in a link FIFO.
SPAMD-8003-02,CPU,A processor has detected a timeout in a Global Memory Interconnect state machine.
SPAMD-8003-1X,CPU,A processor has detected an unspecified error within a Global Memory Interconnect link.
SPAMD-8003-2E,CPU,A processor has detected excessive correctable errors in the integrated PCIe host bridge.
SPAMD-8003-3J,CPU,A processor has generated Poison data in response to the detection of an error in the integrated PCIe host bridge
SPAMD-8003-4C,CPU,A processor has detected a fatal error in the integrated PCIe host bridge.
SPAMD-8003-5Q,CPU,A processor thread has detected a recoverable uncorrected error in the integrated PCIe host bridge.
SPAMD-8003-64,CPU,A processor has detected a correctable timeout error.
SPAMD-8003-7R,CPU,A processor has detected a fatal timeout error.
SPAMD-8003-8H,CPU,A processor thread has detected excessive corrected transmission error
SPAMD-8003-9D,CPU,A processor has generated Poison data in response to the detection of a transmission error.
SPAMD-8003-AY,CPU,A processor has detected a fatal transmission error.
SPAMD-8003-C3,CPU,A processor thread has detected a recoverable uncorrected error during a transmission.
SPAMD-8003-DS,CPU,A processor thread has detected excessive corrected errors in the CPU interconnect.
SPAMD-8003-E5,CPU,A processor thread has detected a recoverable uncorrected error in the CPU interconnect.
SPAMD-8003-FP,DIMM,Multiple correctable memory DIMM address/command parity errors have been detected.
SPAMD-8003-GA,DIMM,An recoverable uncorrectable Memory DIMM address/command parity error has been detected.
SPAMD-8003-HJ,DIMM,Multiple correctable ECC errors on a memory DIMM have been detected.
